Files already downloaded and verified
Files already downloaded and verified

  0%|          | 0/1563 [00:00<?, ?step/s]
[ 1 / 20 ], Loss:2.3042, Acc:0.0938:   0%|          | 0/1563 [00:01<?, ?step/s]
[ 1 / 20 ], Loss:2.3042, Acc:0.0938:   0%|          | 1/1563 [00:01<46:58,  1.80s/step]
[ 1 / 20 ], Loss:2.3043, Acc:0.0000:   3%|▎         | 48/1563 [00:02<00:35, 42.64step/s]
[ 1 / 20 ], Loss:2.3042, Acc:0.0938:   3%|▎         | 48/1563 [00:02<00:35, 42.64step/s]
[ 1 / 20 ], Loss:2.3123, Acc:0.0312:   3%|▎         | 48/1563 [00:02<00:35, 42.64step/s]
[ 1 / 20 ], Loss:2.3025, Acc:0.0625:   3%|▎         | 48/1563 [00:02<00:35, 42.64step/s]
[ 1 / 20 ], Loss:2.3121, Acc:0.0000:   3%|▎         | 48/1563 [00:02<00:35, 42.64step/s]
[ 1 / 20 ], Loss:2.3088, Acc:0.0625:   3%|▎         | 48/1563 [00:02<00:35, 42.64step/s]
[ 1 / 20 ], Loss:2.3048, Acc:0.1562:   3%|▎         | 48/1563 [00:02<00:35, 42.64step/s]
[ 1 / 20 ], Loss:2.2956, Acc:0.1250:   3%|▎         | 48/1563 [00:02<00:35, 42.64step/s]
[ 1 / 20 ], Loss:2.3106, Acc:0.0000:   3%|▎         | 48/1563 [00:02<00:35, 42.64step/s]
[ 1 / 20 ], Loss:2.3106, Acc:0.0000:   4%|▎         | 56/1563 [00:02<00:30, 49.05step/s]
[ 1 / 20 ], Loss:2.3035, Acc:0.1562:   4%|▎         | 56/1563 [00:02<00:30, 49.05step/s]
[ 1 / 20 ], Loss:2.2917, Acc:0.1250:   4%|▎         | 56/1563 [00:02<00:30, 49.05step/s]
[ 1 / 20 ], Loss:2.2929, Acc:0.1875:   4%|▎         | 56/1563 [00:02<00:30, 49.05step/s]
[ 1 / 20 ], Loss:2.3114, Acc:0.1250:   4%|▎         | 56/1563 [00:02<00:30, 49.05step/s]
[ 1 / 20 ], Loss:2.3022, Acc:0.0938:   4%|▎         | 56/1563 [00:02<00:30, 49.05step/s]
[ 1 / 20 ], Loss:2.2822, Acc:0.1562:   4%|▎         | 56/1563 [00:02<00:30, 49.05step/s]
[ 1 / 20 ], Loss:2.3034, Acc:0.1250:   4%|▎         | 56/1563 [00:02<00:30, 49.05step/s]
[ 1 / 20 ], Loss:2.3201, Acc:0.0312:   4%|▎         | 56/1563 [00:02<00:30, 49.05step/s]
[ 1 / 20 ], Loss:2.3031, Acc:0.0938:   4%|▎         | 56/1563 [00:02<00:30, 49.05step/s]
[ 1 / 20 ], Loss:2.3031, Acc:0.0938:   4%|▍         | 65/1563 [00:02<00:26, 56.84step/s]
[ 1 / 20 ], Loss:2.3017, Acc:0.1250:   4%|▍         | 65/1563 [00:02<00:26, 56.84step/s]
[ 1 / 20 ], Loss:2.3322, Acc:0.0312:   4%|▍         | 65/1563 [00:02<00:26, 56.84step/s]
[ 1 / 20 ], Loss:2.3102, Acc:0.0938:   4%|▍         | 65/1563 [00:02<00:26, 56.84step/s]
[ 1 / 20 ], Loss:2.3064, Acc:0.1562:   4%|▍         | 65/1563 [00:02<00:26, 56.84step/s]
[ 1 / 20 ], Loss:2.2974, Acc:0.0312:   4%|▍         | 65/1563 [00:02<00:26, 56.84step/s]
[ 1 / 20 ], Loss:2.3038, Acc:0.0625:   4%|▍         | 65/1563 [00:02<00:26, 56.84step/s]
[ 1 / 20 ], Loss:2.3048, Acc:0.0625:   4%|▍         | 65/1563 [00:02<00:26, 56.84step/s]
[ 1 / 20 ], Loss:2.3042, Acc:0.0625:   4%|▍         | 65/1563 [00:02<00:26, 56.84step/s]
[ 1 / 20 ], Loss:2.3046, Acc:0.0938:   4%|▍         | 65/1563 [00:02<00:26, 56.84step/s]
[ 1 / 20 ], Loss:2.3100, Acc:0.0625:   4%|▍         | 65/1563 [00:02<00:26, 56.84step/s]
[ 1 / 20 ], Loss:2.3170, Acc:0.0000:   4%|▍         | 65/1563 [00:02<00:26, 56.84step/s]
[ 1 / 20 ], Loss:2.3170, Acc:0.0000:   5%|▍         | 76/1563 [00:02<00:21, 67.87step/s]
[ 1 / 20 ], Loss:2.3090, Acc:0.0938:   5%|▍         | 76/1563 [00:02<00:21, 67.87step/s]
[ 1 / 20 ], Loss:2.3013, Acc:0.1562:   5%|▍         | 76/1563 [00:02<00:21, 67.87step/s]
[ 1 / 20 ], Loss:2.3157, Acc:0.0625:   5%|▍         | 76/1563 [00:02<00:21, 67.87step/s]
[ 1 / 20 ], Loss:2.3099, Acc:0.0625:   5%|▍         | 76/1563 [00:02<00:21, 67.87step/s]
[ 1 / 20 ], Loss:2.3124, Acc:0.0312:   5%|▍         | 76/1563 [00:02<00:21, 67.87step/s]
[ 1 / 20 ], Loss:2.2927, Acc:0.1562:   5%|▍         | 76/1563 [00:02<00:21, 67.87step/s]
[ 1 / 20 ], Loss:2.3044, Acc:0.0312:   5%|▍         | 76/1563 [00:02<00:21, 67.87step/s]
[ 1 / 20 ], Loss:2.3110, Acc:0.0625:   5%|▍         | 76/1563 [00:02<00:21, 67.87step/s]
[ 1 / 20 ], Loss:2.3091, Acc:0.0312:   5%|▍         | 76/1563 [00:02<00:21, 67.87step/s]
[ 1 / 20 ], Loss:2.3091, Acc:0.0312:   5%|▌         | 85/1563 [00:02<00:20, 72.30step/s]
[ 1 / 20 ], Loss:2.3094, Acc:0.0625:   5%|▌         | 85/1563 [00:02<00:20, 72.30step/s]
[ 1 / 20 ], Loss:2.2799, Acc:0.0625:   5%|▌         | 85/1563 [00:02<00:20, 72.30step/s]
[ 1 / 20 ], Loss:2.3050, Acc:0.0312:   5%|▌         | 85/1563 [00:02<00:20, 72.30step/s]
[ 1 / 20 ], Loss:2.2927, Acc:0.2500:   5%|▌         | 85/1563 [00:02<00:20, 72.30step/s]
[ 1 / 20 ], Loss:2.2908, Acc:0.1562:   5%|▌         | 85/1563 [00:02<00:20, 72.30step/s]
[ 1 / 20 ], Loss:2.3147, Acc:0.0625:   5%|▌         | 85/1563 [00:02<00:20, 72.30step/s]
