Files already downloaded and verified
Files already downloaded and verified
  0%|          | 0/1563 [00:00<?, ?step/s]
[ 7 / 20 ], Loss:1.2714, Acc:0.5000:   4%|▍         | 61/1563 [00:00<00:17, 83.87step/s]
[ 7 / 20 ], Loss:1.2959, Acc:0.5312:   4%|▍         | 61/1563 [00:00<00:17, 83.87step/s]
[ 7 / 20 ], Loss:1.1013, Acc:0.6562:   4%|▍         | 61/1563 [00:00<00:17, 83.87step/s]
[ 7 / 20 ], Loss:0.9814, Acc:0.7188:   4%|▍         | 61/1563 [00:00<00:17, 83.87step/s]
[ 7 / 20 ], Loss:0.9814, Acc:0.7188:   5%|▍         | 71/1563 [00:00<00:17, 86.54step/s]
[ 7 / 20 ], Loss:1.0845, Acc:0.6250:   5%|▍         | 71/1563 [00:00<00:17, 86.54step/s]
[ 7 / 20 ], Loss:1.0879, Acc:0.5625:   5%|▍         | 71/1563 [00:00<00:17, 86.54step/s]
[ 7 / 20 ], Loss:1.3788, Acc:0.4688:   5%|▍         | 71/1563 [00:00<00:17, 86.54step/s]
[ 7 / 20 ], Loss:1.4524, Acc:0.5938:   5%|▍         | 71/1563 [00:00<00:17, 86.54step/s]
[ 7 / 20 ], Loss:1.6539, Acc:0.4062:   5%|▍         | 71/1563 [00:01<00:17, 86.54step/s]
[ 7 / 20 ], Loss:0.9610, Acc:0.6562:   5%|▍         | 71/1563 [00:01<00:17, 86.54step/s]
[ 7 / 20 ], Loss:1.2727, Acc:0.5000:   5%|▍         | 71/1563 [00:01<00:17, 86.54step/s]
[ 7 / 20 ], Loss:1.1470, Acc:0.6562:   5%|▍         | 71/1563 [00:01<00:17, 86.54step/s]
[ 7 / 20 ], Loss:1.1360, Acc:0.6250:   5%|▍         | 71/1563 [00:01<00:17, 86.54step/s]
[ 7 / 20 ], Loss:1.4415, Acc:0.5625:   5%|▍         | 71/1563 [00:01<00:17, 86.54step/s]
[ 7 / 20 ], Loss:1.4415, Acc:0.5625:   5%|▌         | 81/1563 [00:01<00:16, 89.80step/s]
[ 7 / 20 ], Loss:1.0531, Acc:0.7188:   5%|▌         | 81/1563 [00:01<00:16, 89.80step/s]
[ 7 / 20 ], Loss:1.0402, Acc:0.6250:   5%|▌         | 81/1563 [00:01<00:16, 89.80step/s]
[ 7 / 20 ], Loss:1.2441, Acc:0.5312:   5%|▌         | 81/1563 [00:01<00:16, 89.80step/s]
[ 7 / 20 ], Loss:1.5081, Acc:0.5312:   5%|▌         | 81/1563 [00:01<00:16, 89.80step/s]
[ 7 / 20 ], Loss:1.3439, Acc:0.5625:   5%|▌         | 81/1563 [00:01<00:16, 89.80step/s]
[ 7 / 20 ], Loss:1.1413, Acc:0.6562:   5%|▌         | 81/1563 [00:01<00:16, 89.80step/s]
[ 7 / 20 ], Loss:1.3035, Acc:0.5312:   5%|▌         | 81/1563 [00:01<00:16, 89.80step/s]
[ 7 / 20 ], Loss:1.3509, Acc:0.5312:   5%|▌         | 81/1563 [00:01<00:16, 89.80step/s]
[ 7 / 20 ], Loss:1.3082, Acc:0.5000:   5%|▌         | 81/1563 [00:01<00:16, 89.80step/s]
[ 7 / 20 ], Loss:1.3474, Acc:0.6250:   5%|▌         | 81/1563 [00:01<00:16, 89.80step/s]
[ 7 / 20 ], Loss:1.2269, Acc:0.4688:   5%|▌         | 81/1563 [00:01<00:16, 89.80step/s]
[ 7 / 20 ], Loss:1.2269, Acc:0.4688:   6%|▌         | 92/1563 [00:01<00:15, 93.09step/s]
[ 7 / 20 ], Loss:1.4811, Acc:0.4062:   6%|▌         | 92/1563 [00:01<00:15, 93.09step/s]
[ 7 / 20 ], Loss:1.2655, Acc:0.4688:   6%|▌         | 92/1563 [00:01<00:15, 93.09step/s]
[ 7 / 20 ], Loss:1.2687, Acc:0.5312:   6%|▌         | 92/1563 [00:01<00:15, 93.09step/s]
[ 7 / 20 ], Loss:1.4634, Acc:0.5000:   6%|▌         | 92/1563 [00:01<00:15, 93.09step/s]
[ 7 / 20 ], Loss:1.0046, Acc:0.6250:   6%|▌         | 92/1563 [00:01<00:15, 93.09step/s]
[ 7 / 20 ], Loss:1.4081, Acc:0.5000:   6%|▌         | 92/1563 [00:01<00:15, 93.09step/s]
[ 7 / 20 ], Loss:0.9613, Acc:0.5625:   6%|▌         | 92/1563 [00:01<00:15, 93.09step/s]
[ 7 / 20 ], Loss:1.5728, Acc:0.4062:   6%|▌         | 92/1563 [00:01<00:15, 93.09step/s]
[ 7 / 20 ], Loss:1.2287, Acc:0.5312:   6%|▌         | 92/1563 [00:01<00:15, 93.09step/s]
[ 7 / 20 ], Loss:1.2002, Acc:0.6250:   6%|▌         | 92/1563 [00:01<00:15, 93.09step/s]
[ 7 / 20 ], Loss:1.2002, Acc:0.6250:   7%|▋         | 102/1563 [00:01<00:15, 93.51step/s]
[ 7 / 20 ], Loss:1.4057, Acc:0.5000:   7%|▋         | 102/1563 [00:01<00:15, 93.51step/s]
[ 7 / 20 ], Loss:1.1151, Acc:0.6875:   7%|▋         | 102/1563 [00:01<00:15, 93.51step/s]
[ 7 / 20 ], Loss:1.3249, Acc:0.5625:   7%|▋         | 102/1563 [00:01<00:15, 93.51step/s]
[ 7 / 20 ], Loss:1.2063, Acc:0.5312:   7%|▋         | 102/1563 [00:01<00:15, 93.51step/s]
[ 7 / 20 ], Loss:1.0226, Acc:0.6562:   7%|▋         | 102/1563 [00:01<00:15, 93.51step/s]
[ 7 / 20 ], Loss:1.2160, Acc:0.5938:   7%|▋         | 102/1563 [00:01<00:15, 93.51step/s]
[ 7 / 20 ], Loss:1.3198, Acc:0.4688:   7%|▋         | 102/1563 [00:01<00:15, 93.51step/s]
[ 7 / 20 ], Loss:1.1294, Acc:0.6250:   7%|▋         | 102/1563 [00:01<00:15, 93.51step/s]
[ 7 / 20 ], Loss:1.1087, Acc:0.6250:   7%|▋         | 102/1563 [00:01<00:15, 93.51step/s]
[ 7 / 20 ], Loss:1.1531, Acc:0.5000:   7%|▋         | 102/1563 [00:01<00:15, 93.51step/s]
[ 7 / 20 ], Loss:1.1531, Acc:0.5000:   7%|▋         | 112/1563 [00:01<00:15, 94.08step/s]
[ 7 / 20 ], Loss:1.5245, Acc:0.4375:   7%|▋         | 112/1563 [00:01<00:15, 94.08step/s]
[ 7 / 20 ], Loss:1.3840, Acc:0.5312:   7%|▋         | 112/1563 [00:01<00:15, 94.08step/s]
[ 7 / 20 ], Loss:1.0185, Acc:0.6250:   7%|▋         | 112/1563 [00:01<00:15, 94.08step/s]
[ 7 / 20 ], Loss:1.4412, Acc:0.4688:   7%|▋         | 112/1563 [00:01<00:15, 94.08step/s]
[ 7 / 20 ], Loss:1.1559, Acc:0.5625:   7%|▋         | 112/1563 [00:01<00:15, 94.08step/s]
[ 7 / 20 ], Loss:1.6529, Acc:0.4062:   7%|▋         | 112/1563 [00:01<00:15, 94.08step/s]
[ 7 / 20 ], Loss:1.1537, Acc:0.5625:   7%|▋         | 112/1563 [00:01<00:15, 94.08step/s]
[ 7 / 20 ], Loss:1.1685, Acc:0.6562:   7%|▋         | 112/1563 [00:01<00:15, 94.08step/s]
[ 7 / 20 ], Loss:1.1559, Acc:0.5625:   7%|▋         | 112/1563 [00:01<00:15, 94.08step/s]
[ 7 / 20 ], Loss:1.6355, Acc:0.4688:   7%|▋         | 112/1563 [00:01<00:15, 94.08step/s]
[ 7 / 20 ], Loss:1.6355, Acc:0.4688:   8%|▊         | 122/1563 [00:01<00:15, 95.22step/s]
[ 7 / 20 ], Loss:1.2125, Acc:0.5000:   8%|▊         | 122/1563 [00:01<00:15, 95.22step/s]
[ 7 / 20 ], Loss:1.3592, Acc:0.4688:   8%|▊         | 122/1563 [00:01<00:15, 95.22step/s]
[ 7 / 20 ], Loss:1.2427, Acc:0.5938:   8%|▊         | 122/1563 [00:01<00:15, 95.22step/s]
[ 7 / 20 ], Loss:1.2745, Acc:0.4375:   8%|▊         | 122/1563 [00:01<00:15, 95.22step/s]
[ 7 / 20 ], Loss:1.6884, Acc:0.3438:   8%|▊         | 122/1563 [00:01<00:15, 95.22step/s]
[ 7 / 20 ], Loss:1.2366, Acc:0.4688:   8%|▊         | 122/1563 [00:01<00:15, 95.22step/s]
[ 7 / 20 ], Loss:1.2346, Acc:0.6250:   8%|▊         | 122/1563 [00:01<00:15, 95.22step/s]
[ 7 / 20 ], Loss:1.4925, Acc:0.3750:   8%|▊         | 122/1563 [00:01<00:15, 95.22step/s]
[ 7 / 20 ], Loss:0.9175, Acc:0.6250:   8%|▊         | 122/1563 [00:01<00:15, 95.22step/s]
[ 7 / 20 ], Loss:1.0941, Acc:0.5938:   8%|▊         | 122/1563 [00:01<00:15, 95.22step/s]
[ 7 / 20 ], Loss:1.0941, Acc:0.5938:   8%|▊         | 132/1563 [00:01<00:15, 94.36step/s]
[ 7 / 20 ], Loss:1.2969, Acc:0.5000:   8%|▊         | 132/1563 [00:01<00:15, 94.36step/s]
[ 7 / 20 ], Loss:1.4107, Acc:0.5312:   8%|▊         | 132/1563 [00:01<00:15, 94.36step/s]
[ 7 / 20 ], Loss:1.2685, Acc:0.5625:   8%|▊         | 132/1563 [00:01<00:15, 94.36step/s]
[ 7 / 20 ], Loss:0.9751, Acc:0.7188:   8%|▊         | 132/1563 [00:01<00:15, 94.36step/s]
[ 7 / 20 ], Loss:0.8979, Acc:0.6250:   8%|▊         | 132/1563 [00:01<00:15, 94.36step/s]
[ 7 / 20 ], Loss:1.3620, Acc:0.5000:   8%|▊         | 132/1563 [00:01<00:15, 94.36step/s]
[ 7 / 20 ], Loss:1.3074, Acc:0.5625:   8%|▊         | 132/1563 [00:01<00:15, 94.36step/s]
[ 7 / 20 ], Loss:1.5523, Acc:0.4688:   8%|▊         | 132/1563 [00:01<00:15, 94.36step/s]
[ 7 / 20 ], Loss:1.3436, Acc:0.5625:   8%|▊         | 132/1563 [00:01<00:15, 94.36step/s]
[ 7 / 20 ], Loss:1.2851, Acc:0.6562:   8%|▊         | 132/1563 [00:01<00:15, 94.36step/s]
[ 7 / 20 ], Loss:1.2851, Acc:0.6562:   9%|▉         | 142/1563 [00:01<00:15, 93.89step/s]
[ 7 / 20 ], Loss:1.3681, Acc:0.5625:   9%|▉         | 142/1563 [00:01<00:15, 93.89step/s]
[ 7 / 20 ], Loss:1.1110, Acc:0.6562:   9%|▉         | 142/1563 [00:01<00:15, 93.89step/s]
[ 7 / 20 ], Loss:1.3397, Acc:0.4375:   9%|▉         | 142/1563 [00:01<00:15, 93.89step/s]
[ 7 / 20 ], Loss:1.1139, Acc:0.6562:   9%|▉         | 142/1563 [00:01<00:15, 93.89step/s]
[ 7 / 20 ], Loss:1.2885, Acc:0.5312:   9%|▉         | 142/1563 [00:01<00:15, 93.89step/s]
[ 7 / 20 ], Loss:1.2679, Acc:0.5312:   9%|▉         | 142/1563 [00:01<00:15, 93.89step/s]
[ 7 / 20 ], Loss:1.7745, Acc:0.3438:   9%|▉         | 142/1563 [00:01<00:15, 93.89step/s]
[ 7 / 20 ], Loss:1.2754, Acc:0.5625:   9%|▉         | 142/1563 [00:01<00:15, 93.89step/s]
[ 7 / 20 ], Loss:1.0284, Acc:0.6562:   9%|▉         | 142/1563 [00:01<00:15, 93.89step/s]
[ 7 / 20 ], Loss:1.0606, Acc:0.6250:   9%|▉         | 142/1563 [00:01<00:15, 93.89step/s]
[ 7 / 20 ], Loss:1.0606, Acc:0.6250:  10%|▉         | 152/1563 [00:01<00:14, 94.28step/s]
[ 7 / 20 ], Loss:1.4236, Acc:0.5625:  10%|▉         | 152/1563 [00:01<00:14, 94.28step/s]
[ 7 / 20 ], Loss:1.5174, Acc:0.5312:  10%|▉         | 152/1563 [00:01<00:14, 94.28step/s]
[ 7 / 20 ], Loss:1.2213, Acc:0.5938:  10%|▉         | 152/1563 [00:01<00:14, 94.28step/s]
[ 7 / 20 ], Loss:1.1374, Acc:0.5625:  10%|▉         | 152/1563 [00:01<00:14, 94.28step/s]
[ 7 / 20 ], Loss:1.1697, Acc:0.4375:  10%|▉         | 152/1563 [00:01<00:14, 94.28step/s]
[ 7 / 20 ], Loss:1.0106, Acc:0.6875:  10%|▉         | 152/1563 [00:01<00:14, 94.28step/s]
[ 7 / 20 ], Loss:1.4373, Acc:0.4688:  10%|▉         | 152/1563 [00:01<00:14, 94.28step/s]
[ 7 / 20 ], Loss:1.3101, Acc:0.5312:  10%|▉         | 152/1563 [00:01<00:14, 94.28step/s]
[ 7 / 20 ], Loss:1.6104, Acc:0.5000:  10%|▉         | 152/1563 [00:01<00:14, 94.28step/s]
[ 7 / 20 ], Loss:1.2268, Acc:0.5625:  10%|▉         | 152/1563 [00:01<00:14, 94.28step/s]
[ 7 / 20 ], Loss:1.2268, Acc:0.5625:  10%|█         | 162/1563 [00:01<00:14, 94.72step/s]
[ 7 / 20 ], Loss:1.2775, Acc:0.5938:  10%|█         | 162/1563 [00:01<00:14, 94.72step/s]
[ 7 / 20 ], Loss:1.2381, Acc:0.4688:  10%|█         | 162/1563 [00:01<00:14, 94.72step/s]
[ 7 / 20 ], Loss:1.3810, Acc:0.5000:  10%|█         | 162/1563 [00:01<00:14, 94.72step/s]
[ 7 / 20 ], Loss:1.5425, Acc:0.3750:  10%|█         | 162/1563 [00:01<00:14, 94.72step/s]
[ 7 / 20 ], Loss:1.4596, Acc:0.5000:  10%|█         | 162/1563 [00:01<00:14, 94.72step/s]
[ 7 / 20 ], Loss:1.1881, Acc:0.5625:  10%|█         | 162/1563 [00:01<00:14, 94.72step/s]
[ 7 / 20 ], Loss:1.1992, Acc:0.5000:  10%|█         | 162/1563 [00:01<00:14, 94.72step/s]
[ 7 / 20 ], Loss:1.9338, Acc:0.4062:  10%|█         | 162/1563 [00:01<00:14, 94.72step/s]
[ 7 / 20 ], Loss:1.2712, Acc:0.5000:  10%|█         | 162/1563 [00:02<00:14, 94.72step/s]
[ 7 / 20 ], Loss:1.2183, Acc:0.6250:  10%|█         | 162/1563 [00:02<00:14, 94.72step/s]
[ 7 / 20 ], Loss:1.2183, Acc:0.6250:  11%|█         | 172/1563 [00:02<00:14, 94.53step/s]
[ 7 / 20 ], Loss:1.4527, Acc:0.4062:  11%|█         | 172/1563 [00:02<00:14, 94.53step/s]
[ 7 / 20 ], Loss:1.5047, Acc:0.5000:  11%|█         | 172/1563 [00:02<00:14, 94.53step/s]
[ 7 / 20 ], Loss:1.0388, Acc:0.7188:  11%|█         | 172/1563 [00:02<00:14, 94.53step/s]
[ 7 / 20 ], Loss:1.3627, Acc:0.5625:  11%|█         | 172/1563 [00:02<00:14, 94.53step/s]
[ 7 / 20 ], Loss:1.4524, Acc:0.5312:  11%|█         | 172/1563 [00:02<00:14, 94.53step/s]
[ 7 / 20 ], Loss:1.3774, Acc:0.5312:  11%|█         | 172/1563 [00:02<00:14, 94.53step/s]
[ 7 / 20 ], Loss:1.2708, Acc:0.5625:  11%|█         | 172/1563 [00:02<00:14, 94.53step/s]
[ 7 / 20 ], Loss:1.2000, Acc:0.5000:  11%|█         | 172/1563 [00:02<00:14, 94.53step/s]
[ 7 / 20 ], Loss:1.2288, Acc:0.6250:  11%|█         | 172/1563 [00:02<00:14, 94.53step/s]
[ 7 / 20 ], Loss:1.3318, Acc:0.5000:  11%|█         | 172/1563 [00:02<00:14, 94.53step/s]
[ 7 / 20 ], Loss:1.3318, Acc:0.5000:  12%|█▏        | 182/1563 [00:02<00:14, 92.57step/s]
[ 7 / 20 ], Loss:1.4067, Acc:0.5312:  12%|█▏        | 182/1563 [00:02<00:14, 92.57step/s]
[ 7 / 20 ], Loss:1.0012, Acc:0.6250:  12%|█▏        | 182/1563 [00:02<00:14, 92.57step/s]
[ 7 / 20 ], Loss:1.1472, Acc:0.5938:  12%|█▏        | 182/1563 [00:02<00:14, 92.57step/s]
[ 7 / 20 ], Loss:1.5161, Acc:0.3750:  12%|█▏        | 182/1563 [00:02<00:14, 92.57step/s]
[ 7 / 20 ], Loss:1.2417, Acc:0.4688:  12%|█▏        | 182/1563 [00:02<00:14, 92.57step/s]
[ 7 / 20 ], Loss:1.5776, Acc:0.4688:  12%|█▏        | 182/1563 [00:02<00:14, 92.57step/s]
[ 7 / 20 ], Loss:1.1670, Acc:0.6250:  12%|█▏        | 182/1563 [00:02<00:14, 92.57step/s]
[ 7 / 20 ], Loss:1.2279, Acc:0.5312:  12%|█▏        | 182/1563 [00:02<00:14, 92.57step/s]
[ 7 / 20 ], Loss:1.4691, Acc:0.3750:  12%|█▏        | 182/1563 [00:02<00:14, 92.57step/s]
[ 7 / 20 ], Loss:1.3247, Acc:0.5625:  12%|█▏        | 182/1563 [00:02<00:14, 92.57step/s]
[ 7 / 20 ], Loss:1.5101, Acc:0.4688:  12%|█▏        | 182/1563 [00:02<00:14, 92.57step/s]
[ 7 / 20 ], Loss:1.5101, Acc:0.4688:  12%|█▏        | 193/1563 [00:02<00:14, 94.93step/s]
[ 7 / 20 ], Loss:1.4506, Acc:0.5625:  12%|█▏        | 193/1563 [00:02<00:14, 94.93step/s]
[ 7 / 20 ], Loss:1.1643, Acc:0.5938:  12%|█▏        | 193/1563 [00:02<00:14, 94.93step/s]
[ 7 / 20 ], Loss:0.9048, Acc:0.6875:  12%|█▏        | 193/1563 [00:02<00:14, 94.93step/s]
[ 7 / 20 ], Loss:1.7837, Acc:0.3750:  12%|█▏        | 193/1563 [00:02<00:14, 94.93step/s]
[ 7 / 20 ], Loss:1.1680, Acc:0.6250:  12%|█▏        | 193/1563 [00:02<00:14, 94.93step/s]
[ 7 / 20 ], Loss:1.2411, Acc:0.5312:  12%|█▏        | 193/1563 [00:02<00:14, 94.93step/s]
[ 7 / 20 ], Loss:1.0825, Acc:0.6250:  12%|█▏        | 193/1563 [00:02<00:14, 94.93step/s]
[ 7 / 20 ], Loss:1.1458, Acc:0.5625:  12%|█▏        | 193/1563 [00:02<00:14, 94.93step/s]
[ 7 / 20 ], Loss:1.0541, Acc:0.6250:  12%|█▏        | 193/1563 [00:02<00:14, 94.93step/s]
[ 7 / 20 ], Loss:1.1301, Acc:0.5625:  12%|█▏        | 193/1563 [00:02<00:14, 94.93step/s]
[ 7 / 20 ], Loss:1.1301, Acc:0.5625:  13%|█▎        | 203/1563 [00:02<00:15, 90.57step/s]
[ 7 / 20 ], Loss:1.2861, Acc:0.5938:  13%|█▎        | 203/1563 [00:02<00:15, 90.57step/s]
[ 7 / 20 ], Loss:1.4233, Acc:0.5312:  13%|█▎        | 203/1563 [00:02<00:15, 90.57step/s]
[ 7 / 20 ], Loss:1.3673, Acc:0.6562:  13%|█▎        | 203/1563 [00:02<00:15, 90.57step/s]
[ 7 / 20 ], Loss:1.5970, Acc:0.4688:  13%|█▎        | 203/1563 [00:02<00:15, 90.57step/s]
[ 7 / 20 ], Loss:1.0135, Acc:0.7500:  13%|█▎        | 203/1563 [00:02<00:15, 90.57step/s]
[ 7 / 20 ], Loss:1.1133, Acc:0.5938:  13%|█▎        | 203/1563 [00:02<00:15, 90.57step/s]
[ 7 / 20 ], Loss:1.1247, Acc:0.5938:  13%|█▎        | 203/1563 [00:02<00:15, 90.57step/s]
[ 7 / 20 ], Loss:1.1287, Acc:0.5625:  13%|█▎        | 203/1563 [00:02<00:15, 90.57step/s]
[ 7 / 20 ], Loss:0.9867, Acc:0.6250:  13%|█▎        | 203/1563 [00:02<00:15, 90.57step/s]
[ 7 / 20 ], Loss:1.1528, Acc:0.6875:  13%|█▎        | 203/1563 [00:02<00:15, 90.57step/s]
[ 7 / 20 ], Loss:1.1528, Acc:0.6875:  14%|█▎        | 213/1563 [00:02<00:14, 92.33step/s]
[ 7 / 20 ], Loss:1.3379, Acc:0.5625:  14%|█▎        | 213/1563 [00:02<00:14, 92.33step/s]
[ 7 / 20 ], Loss:1.4640, Acc:0.5625:  14%|█▎        | 213/1563 [00:02<00:14, 92.33step/s]
[ 7 / 20 ], Loss:1.2160, Acc:0.5938:  14%|█▎        | 213/1563 [00:02<00:14, 92.33step/s]
[ 7 / 20 ], Loss:0.9425, Acc:0.6250:  14%|█▎        | 213/1563 [00:02<00:14, 92.33step/s]
[ 7 / 20 ], Loss:0.9677, Acc:0.6875:  14%|█▎        | 213/1563 [00:02<00:14, 92.33step/s]
[ 7 / 20 ], Loss:1.2085, Acc:0.4688:  14%|█▎        | 213/1563 [00:02<00:14, 92.33step/s]
[ 7 / 20 ], Loss:1.2133, Acc:0.5938:  14%|█▎        | 213/1563 [00:02<00:14, 92.33step/s]
[ 7 / 20 ], Loss:1.0987, Acc:0.6250:  14%|█▎        | 213/1563 [00:02<00:14, 92.33step/s]
[ 7 / 20 ], Loss:1.5451, Acc:0.3438:  14%|█▎        | 213/1563 [00:02<00:14, 92.33step/s]
[ 7 / 20 ], Loss:1.1439, Acc:0.5938:  14%|█▎        | 213/1563 [00:02<00:14, 92.33step/s]
[ 7 / 20 ], Loss:1.1439, Acc:0.5938:  14%|█▍        | 223/1563 [00:02<00:14, 92.08step/s]
[ 7 / 20 ], Loss:1.5463, Acc:0.4062:  14%|█▍        | 223/1563 [00:02<00:14, 92.08step/s]
[ 7 / 20 ], Loss:1.4448, Acc:0.5312:  14%|█▍        | 223/1563 [00:02<00:14, 92.08step/s]
[ 7 / 20 ], Loss:1.0869, Acc:0.5938:  14%|█▍        | 223/1563 [00:02<00:14, 92.08step/s]
[ 7 / 20 ], Loss:1.1098, Acc:0.6250:  14%|█▍        | 223/1563 [00:02<00:14, 92.08step/s]
[ 7 / 20 ], Loss:1.4357, Acc:0.5000:  14%|█▍        | 223/1563 [00:02<00:14, 92.08step/s]
[ 7 / 20 ], Loss:1.2942, Acc:0.5625:  14%|█▍        | 223/1563 [00:02<00:14, 92.08step/s]
[ 7 / 20 ], Loss:1.3009, Acc:0.5312:  14%|█▍        | 223/1563 [00:02<00:14, 92.08step/s]
[ 7 / 20 ], Loss:1.4122, Acc:0.5000:  14%|█▍        | 223/1563 [00:02<00:14, 92.08step/s]
[ 7 / 20 ], Loss:1.1172, Acc:0.5938:  14%|█▍        | 223/1563 [00:02<00:14, 92.08step/s]
[ 7 / 20 ], Loss:1.2874, Acc:0.4688:  14%|█▍        | 223/1563 [00:02<00:14, 92.08step/s]
[ 7 / 20 ], Loss:1.2874, Acc:0.4688:  15%|█▍        | 233/1563 [00:02<00:14, 92.80step/s]
[ 7 / 20 ], Loss:1.2258, Acc:0.6250:  15%|█▍        | 233/1563 [00:02<00:14, 92.80step/s]
[ 7 / 20 ], Loss:1.0362, Acc:0.5938:  15%|█▍        | 233/1563 [00:02<00:14, 92.80step/s]
[ 7 / 20 ], Loss:1.4791, Acc:0.5312:  15%|█▍        | 233/1563 [00:02<00:14, 92.80step/s]
[ 7 / 20 ], Loss:1.1799, Acc:0.5625:  15%|█▍        | 233/1563 [00:02<00:14, 92.80step/s]
[ 7 / 20 ], Loss:0.9824, Acc:0.7188:  15%|█▍        | 233/1563 [00:02<00:14, 92.80step/s]
[ 7 / 20 ], Loss:1.2093, Acc:0.5625:  15%|█▍        | 233/1563 [00:02<00:14, 92.80step/s]
[ 7 / 20 ], Loss:1.1985, Acc:0.6875:  15%|█▍        | 233/1563 [00:02<00:14, 92.80step/s]
[ 7 / 20 ], Loss:1.0180, Acc:0.6562:  15%|█▍        | 233/1563 [00:02<00:14, 92.80step/s]
[ 7 / 20 ], Loss:1.2597, Acc:0.5000:  15%|█▍        | 233/1563 [00:02<00:14, 92.80step/s]
[ 7 / 20 ], Loss:1.0445, Acc:0.5938:  15%|█▍        | 233/1563 [00:02<00:14, 92.80step/s]
[ 7 / 20 ], Loss:1.0445, Acc:0.5938:  16%|█▌        | 243/1563 [00:02<00:14, 94.13step/s]
[ 7 / 20 ], Loss:1.3430, Acc:0.6562:  16%|█▌        | 243/1563 [00:02<00:14, 94.13step/s]
[ 7 / 20 ], Loss:1.3378, Acc:0.6250:  16%|█▌        | 243/1563 [00:02<00:14, 94.13step/s]
[ 7 / 20 ], Loss:1.4702, Acc:0.2812:  16%|█▌        | 243/1563 [00:02<00:14, 94.13step/s]
[ 7 / 20 ], Loss:1.3114, Acc:0.5000:  16%|█▌        | 243/1563 [00:02<00:14, 94.13step/s]
[ 7 / 20 ], Loss:1.3396, Acc:0.6250:  16%|█▌        | 243/1563 [00:02<00:14, 94.13step/s]
[ 7 / 20 ], Loss:1.1678, Acc:0.6562:  16%|█▌        | 243/1563 [00:02<00:14, 94.13step/s]
[ 7 / 20 ], Loss:1.0188, Acc:0.6250:  16%|█▌        | 243/1563 [00:02<00:14, 94.13step/s]
[ 7 / 20 ], Loss:0.9466, Acc:0.6562:  16%|█▌        | 243/1563 [00:02<00:14, 94.13step/s]
[ 7 / 20 ], Loss:1.5496, Acc:0.5312:  16%|█▌        | 243/1563 [00:02<00:14, 94.13step/s]
[ 7 / 20 ], Loss:1.7153, Acc:0.5312:  16%|█▌        | 243/1563 [00:02<00:14, 94.13step/s]
[ 7 / 20 ], Loss:1.7153, Acc:0.5312:  16%|█▌        | 253/1563 [00:02<00:13, 93.89step/s]
[ 7 / 20 ], Loss:1.1516, Acc:0.6875:  16%|█▌        | 253/1563 [00:02<00:13, 93.89step/s]
[ 7 / 20 ], Loss:1.1171, Acc:0.6562:  16%|█▌        | 253/1563 [00:02<00:13, 93.89step/s]
[ 7 / 20 ], Loss:0.8231, Acc:0.7812:  16%|█▌        | 253/1563 [00:02<00:13, 93.89step/s]
[ 7 / 20 ], Loss:1.3205, Acc:0.5312:  16%|█▌        | 253/1563 [00:02<00:13, 93.89step/s]
[ 7 / 20 ], Loss:1.4654, Acc:0.4375:  16%|█▌        | 253/1563 [00:02<00:13, 93.89step/s]
[ 7 / 20 ], Loss:1.2170, Acc:0.5625:  16%|█▌        | 253/1563 [00:02<00:13, 93.89step/s]
[ 7 / 20 ], Loss:1.0523, Acc:0.5312:  16%|█▌        | 253/1563 [00:02<00:13, 93.89step/s]
[ 7 / 20 ], Loss:1.4761, Acc:0.3750:  16%|█▌        | 253/1563 [00:02<00:13, 93.89step/s]
[ 7 / 20 ], Loss:1.0583, Acc:0.7188:  16%|█▌        | 253/1563 [00:02<00:13, 93.89step/s]
[ 7 / 20 ], Loss:1.5065, Acc:0.5625:  16%|█▌        | 253/1563 [00:02<00:13, 93.89step/s]
[ 7 / 20 ], Loss:1.5065, Acc:0.5625:  17%|█▋        | 263/1563 [00:02<00:13, 93.96step/s]
[ 7 / 20 ], Loss:1.1451, Acc:0.7188:  17%|█▋        | 263/1563 [00:03<00:13, 93.96step/s]
[ 7 / 20 ], Loss:1.2325, Acc:0.5312:  17%|█▋        | 263/1563 [00:03<00:13, 93.96step/s]
[ 7 / 20 ], Loss:1.6655, Acc:0.4375:  17%|█▋        | 263/1563 [00:03<00:13, 93.96step/s]
[ 7 / 20 ], Loss:1.1529, Acc:0.6250:  17%|█▋        | 263/1563 [00:03<00:13, 93.96step/s]
[ 7 / 20 ], Loss:1.0497, Acc:0.5938:  17%|█▋        | 263/1563 [00:03<00:13, 93.96step/s]
[ 7 / 20 ], Loss:1.4943, Acc:0.4062:  17%|█▋        | 263/1563 [00:03<00:13, 93.96step/s]
[ 7 / 20 ], Loss:1.5585, Acc:0.4062:  17%|█▋        | 263/1563 [00:03<00:13, 93.96step/s]
[ 7 / 20 ], Loss:1.0051, Acc:0.6562:  17%|█▋        | 263/1563 [00:03<00:13, 93.96step/s]
[ 7 / 20 ], Loss:1.1872, Acc:0.4062:  17%|█▋        | 263/1563 [00:03<00:13, 93.96step/s]
[ 7 / 20 ], Loss:0.8625, Acc:0.6875:  17%|█▋        | 263/1563 [00:03<00:13, 93.96step/s]
[ 7 / 20 ], Loss:0.8625, Acc:0.6875:  17%|█▋        | 273/1563 [00:03<00:13, 92.68step/s]
